Market,Date,Total Spend
BH,2024-01-22,14.34
BB,2024-01-22,3.25
BY,2024-01-22,11.52
BE,2024-01-22,770.19
BA,2024-01-22,5.55
BG,2024-01-22,70.57
CA,2024-01-22,283.32
KY,2024-01-22,5.24
HR,2024-01-22,110.57
CY,2024-01-22,82.09
CZ,2024-01-22,348.97
DK,2024-01-22,680.25
EE,2024-01-22,137.58
FO,2024-01-22,1.57
FI,2024-01-22,421.84
FR,2024-01-22,1232.66
DE,2024-01-22,1780.67
GI,2024-01-22,4.08
GR,2024-01-22,306.57
GG,2024-01-22,8.06
HK,2024-01-22,376.09
HU,2024-01-22,230.66
IS,2024-01-22,80.31
IE,2024-01-22,300.29
IM,2024-01-22,4.61
IL,2024-01-22,246.68
IT,2024-01-22,483.3
JP,2024-01-22,456.81
JE,2024-01-22,13.19
KR,2024-01-22,335.78
RS,2024-01-22,5.34
KW,2024-01-22,86.48
LV,2024-01-22,127.0
LI,2024-01-22,2.51
LT,2024-01-22,189.82
LU,2024-01-22,70.46
MO,2024-01-22,5.34
MK,2024-01-22,4.08
MT,2024-01-22,27.22
MD,2024-01-22,7.85
MC,2024-01-22,14.24
ME,2024-01-22,8.79
NL,2024-01-22,684.33
NZ,2024-01-22,183.02
NO,2024-01-22,811.96
OM,2024-01-22,5.65
PL,2024-01-22,503.72
PT,2024-01-22,239.24
QA,2024-01-22,56.96
RO,2024-01-22,208.46
,2024-01-22,1.36
SM,2024-01-22,0.94
SA,2024-01-22,13.19
RS,2024-01-22,55.18
SG,2024-01-22,392.53
SK,2024-01-22,152.13
SI,2024-01-22,133.39
ZA,2024-01-22,32.88
ES,2024-01-22,802.23
SJ,2024-01-22,0.84
SE,2024-01-22,7086.96
CH,2024-01-22,433.47
TW,2024-01-22,279.14
TR,2024-01-22,192.23
,2024-01-22,1.68
AE,2024-01-22,206.79
GB,2024-01-22,2648.44
US,2024-01-22,9850.89
AL,2024-01-23,14.89
AD,2024-01-23,3.14
AG,2024-01-23,0.94
AW,2024-01-23,1.68
AU,2024-01-23,678.16
AT,2024-01-23,327.39
AZ,2024-01-23,0.1
BH,2024-01-23,13.0
BB,2024-01-23,4.4
BY,2024-01-23,10.38
BE,2024-01-23,506.76
BA,2024-01-23,7.97
BG,2024-01-23,58.39
CA,2024-01-23,212.29
KY,2024-01-23,7.65
HR,2024-01-23,91.52
CY,2024-01-23,81.87
CZ,2024-01-23,255.37
DK,2024-01-23,495.02
EE,2024-01-23,85.65
FO,2024-01-23,1.99
FI,2024-01-23,304.02
FR,2024-01-23,934.59
DE,2024-01-23,1305.28
GI,2024-01-23,1.78
GR,2024-01-23,287.87
GG,2024-01-23,8.28
HK,2024-01-23,268.16
HU,2024-01-23,184.82
IS,2024-01-23,68.25
IE,2024-01-23,317.12
IM,2024-01-23,3.14
IL,2024-01-23,307.68
IT,2024-01-23,498.59
JP,2024-01-23,394.07
JE,2024-01-23,12.37
KR,2024-01-23,312.19
RS,2024-01-23,4.82
KW,2024-01-23,126.32
LV,2024-01-23,97.81
LI,2024-01-23,2.2
LT,2024-01-23,116.26
LU,2024-01-23,48.64
MO,2024-01-23,3.35
MK,2024-01-23,5.14
MT,2024-01-23,23.27
MD,2024-01-23,5.66
MC,2024-01-23,12.37
ME,2024-01-23,7.97
NL,2024-01-23,534.75
NZ,2024-01-23,117.41
NO,2024-01-23,621.14
OM,2024-01-23,8.81
PL,2024-01-23,394.59
PT,2024-01-23,233.15
QA,2024-01-23,57.45
RO,2024-01-23,189.01
,2024-01-23,0.73
SM,2024-01-23,0.52
SA,2024-01-23,4.3
RS,2024-01-23,52.0
SG,2024-01-23,256.32
SK,2024-01-23,106.93
SI,2024-01-23,104.1
ZA,2024-01-23,28.1
ES,2024-01-23,783.94
SJ,2024-01-23,1.57
SE,2024-01-23,4602.9
CH,2024-01-23,324.04
TW,2024-01-23,252.96
TR,2024-01-23,261.14
,2024-01-23,2.52
AE,2024-01-23,246.25
GB,2024-01-23,1994.87
US,2024-01-23,6122.14
,2024-01-23,0.0
AL,2024-01-24,20.57
AD,2024-01-24,9.4
AG,2024-01-24,2.3
AW,2024-01-24,3.13
AU,2024-01-24,608.34
AT,2024-01-24,322.44
AZ,2024-01-24,0.0
BH,2024-01-24,23.29
BB,2024-01-24,5.12
BY,2024-01-24,30.28
BE,2024-01-24,578.26
BA,2024-01-24,28.51
BG,2024-01-24,129.27
CA,2024-01-24,181.48
KY,2024-01-24,11.49
HR,2024-01-24,260.63
CY,2024-01-24,130.42
CZ,2024-01-24,437.2
DK,2024-01-24,654.18
EE,2024-01-24,136.26
FO,2024-01-24,3.55
FI,2024-01-24,336.12
FR,2024-01-24,1571.8
DE,2024-01-24,1595.92
GI,2024-01-24,6.79
GR,2024-01-24,555.71
GG,2024-01-24,15.87
HK,2024-01-24,304.38
HU,2024-01-24,410.05
IS,2024-01-24,95.12
IE,2024-01-24,443.15
IM,2024-01-24,10.13
IL,2024-01-24,401.49
IT,2024-01-24,955.42
JP,2024-01-24,296.23
JE,2024-01-24,27.78
KR,2024-01-24,287.04
RS,2024-01-24,15.56
KW,2024-01-24,210.3
LV,2024-01-24,158.82
LI,2024-01-24,1.67
LT,2024-01-24,218.02
LU,2024-01-24,69.96
MO,2024-01-24,5.85
MK,2024-01-24,15.24
MT,2024-01-24,45.84
MD,2024-01-24,14.2
MC,2024-01-24,16.39
ME,2024-01-24,18.8
NL,2024-01-24,718.91
NZ,2024-01-24,112.98
NO,2024-01-24,693.85
OM,2024-01-24,20.15
PL,2024-01-24,1088.55
PT,2024-01-24,412.66
QA,2024-01-24,104.21
RO,2024-01-24,646.34
,2024-01-24,1.57
SM,2024-01-24,0.94
SA,2024-01-24,8.35
RS,2024-01-24,133.55
SG,2024-01-24,289.45
SK,2024-01-24,268.25
SI,2024-01-24,164.56
ZA,2024-01-24,214.79
ES,2024-01-24,1236.3
SJ,2024-01-24,1.04
SE,2024-01-24,4296.88
CH,2024-01-24,408.59
TW,2024-01-24,248.93
TR,2024-01-24,754.73
,2024-01-24,3.65
AE,2024-01-24,284.33
GB,2024-01-24,2697.73
US,2024-01-24,7492.37
AL,2024-01-25,12.53
AD,2024-01-25,4.18
AG,2024-01-25,1.78
AW,2024-01-25,1.98
AU,2024-01-25,514.96
AT,2024-01-25,261.39
AZ,2024-01-25,0.0
BH,2024-01-25,13.68
BB,2024-01-25,3.97
BY,2024-01-25,17.44
BE,2024-01-25,391.52
BA,2024-01-25,10.55
BG,2024-01-25,103.91
CA,2024-01-25,139.0
KY,2024-01-25,12.11
HR,2024-01-25,121.14
CY,2024-01-25,105.58
CZ,2024-01-25,286.25
DK,2024-01-25,454.39
EE,2024-01-25,91.27
FO,2024-01-25,4.28
FI,2024-01-25,262.23
FR,2024-01-25,742.83
DE,2024-01-25,893.84
GI,2024-01-25,4.39
GR,2024-01-25,311.0
GG,2024-01-25,11.7
HK,2024-01-25,241.66
HU,2024-01-25,197.9
IS,2024-01-25,63.39
IE,2024-01-25,251.68
IM,2024-01-25,6.79
IL,2024-01-25,365.72
IT,2024-01-25,455.43
JP,2024-01-25,227.24
JE,2024-01-25,15.87
KR,2024-01-25,196.86
RS,2024-01-25,6.79
KW,2024-01-25,147.25
LV,2024-01-25,86.16
LI,2024-01-25,3.55
LT,2024-01-25,170.54
LU,2024-01-25,57.75
MO,2024-01-25,6.16
MK,2024-01-25,8.35
MT,2024-01-25,25.17
MD,2024-01-25,12.95
MC,2024-01-25,12.95
ME,2024-01-25,7.21
NL,2024-01-25,457.83
NZ,2024-01-25,118.11
NO,2024-01-25,479.14
OM,2024-01-25,10.55
PL,2024-01-25,459.5
PT,2024-01-25,234.87
QA,2024-01-25,68.09
RO,2024-01-25,389.64
,2024-01-25,3.13
SM,2024-01-25,0.63
SA,2024-01-25,2.4
RS,2024-01-25,58.06
SG,2024-01-25,256.59
SK,2024-01-25,131.79
SI,2024-01-25,95.03
ZA,2024-01-25,14.93
ES,2024-01-25,847.99
SJ,2024-01-25,1.36
SE,2024-01-25,3798.1
CH,2024-01-25,277.58
TW,2024-01-25,283.33
TR,2024-01-25,475.27
,2024-01-25,6.79
AE,2024-01-25,245.63
GB,2024-01-25,1576.93
US,2024-01-25,5849.99
,2024-01-25,0.1
AL,2024-01-26,4.8
AD,2024-01-26,1.15
AG,2024-01-26,0.94
AW,2024-01-26,1.67
AU,2024-01-26,236.69
AT,2024-01-26,147.38
AZ,2024-01-26,0.42
BH,2024-01-26,9.61
BB,2024-01-26,1.98
BY,2024-01-26,5.43
BE,2024-01-26,258.21
BA,2024-01-26,3.97
BG,2024-01-26,49.93
CA,2024-01-26,108.42
KY,2024-01-26,5.33
HR,2024-01-26,57.45
CY,2024-01-26,53.27
CZ,2024-01-26,169.53
DK,2024-01-26,271.58
EE,2024-01-26,50.35
FO,2024-01-26,0.84
FI,2024-01-26,151.35
FR,2024-01-26,512.03
DE,2024-01-26,352.43
GI,2024-01-26,1.04
GR,2024-01-26,154.7
GG,2024-01-26,3.97
HK,2024-01-26,141.01
HU,2024-01-26,135.16
IS,2024-01-26,37.08
IE,2024-01-26,140.7
IM,2024-01-26,2.72
IL,2024-01-26,252.57
IT,2024-01-26,267.82
JP,2024-01-26,141.95
JE,2024-01-26,7.52
KR,2024-01-26,142.47
RS,2024-01-26,4.18
KW,2024-01-26,63.93
LV,2024-01-26,52.75
LI,2024-01-26,1.15
LT,2024-01-26,91.71
LU,2024-01-26,35.62
MO,2024-01-26,4.18
MK,2024-01-26,3.76
MT,2024-01-26,10.13
MD,2024-01-26,4.7
MC,2024-01-26,6.89
ME,2024-01-26,4.07
NL,2024-01-26,180.39
NZ,2024-01-26,67.89
NO,2024-01-26,307.82
OM,2024-01-26,4.39
PL,2024-01-26,258.31
PT,2024-01-26,137.56
QA,2024-01-26,34.68
RO,2024-01-26,180.6
,2024-01-26,1.46
SM,2024-01-26,0.42
SA,2024-01-26,8.88
RS,2024-01-26,33.11
SG,2024-01-26,182.48
SK,2024-01-26,61.21
SI,2024-01-26,68.0
ZA,2024-01-26,9.19
ES,2024-01-26,407.79
SJ,2024-01-26,0.73
SE,2024-01-26,1519.9
CH,2024-01-26,101.32
TW,2024-01-26,168.8
TR,2024-01-26,225.93
,2024-01-26,4.07
AE,2024-01-26,126.7
GB,2024-01-26,661.08
US,2024-01-26,3206.4
,2024-01-26,0.1
AL,2024-01-27,5.85
AD,2024-01-27,1.88
AG,2024-01-27,0.73
AW,2024-01-27,1.36
AU,2024-01-27,210.16
AT,2024-01-27,184.26
AZ,2024-01-27,0.21
BH,2024-01-27,13.37
BB,2024-01-27,1.78
BY,2024-01-27,6.48
BE,2024-01-27,287.35
BA,2024-01-27,5.74
BG,2024-01-27,59.85
CA,2024-01-27,49.82
KY,2024-01-27,5.22
HR,2024-01-27,83.14
CY,2024-01-27,68.73
CZ,2024-01-27,190.31
DK,2024-01-27,382.4
EE,2024-01-27,88.89
FO,2024-01-27,2.72
FI,2024-01-27,174.33
FR,2024-01-27,593.5
DE,2024-01-27,424.92
GI,2024-01-27,4.49
GR,2024-01-27,189.69
GG,2024-01-27,4.28
HK,2024-01-27,135.48
HU,2024-01-27,150.52
IS,2024-01-27,39.9
IE,2024-01-27,170.78
IM,2024-01-27,6.89
IL,2024-01-27,385.43
IT,2024-01-27,311.9
JP,2024-01-27,180.7
JE,2024-01-27,8.04
KR,2024-01-27,182.79
RS,2024-01-27,3.76
KW,2024-01-27,68.94
LV,2024-01-27,78.55
LI,2024-01-27,1.67
LT,2024-01-27,118.97
LU,2024-01-27,38.54
MO,2024-01-27,4.6
MK,2024-01-27,3.34
MT,2024-01-27,17.97
MD,2024-01-27,6.69
MC,2024-01-27,7.31
ME,2024-01-27,4.6
NL,2024-01-27,197.31
NZ,2024-01-27,73.54
NO,2024-01-27,384.18
OM,2024-01-27,7.83
PL,2024-01-27,385.54
PT,2024-01-27,144.04
QA,2024-01-27,36.98
RO,2024-01-27,232.51
,2024-01-27,1.04
SM,2024-01-27,0.21
SA,2024-01-27,0.21
RS,2024-01-27,33.95
SG,2024-01-27,183.52
SK,2024-01-27,106.75
SI,2024-01-27,57.87
ZA,2024-01-27,7.1
ES,2024-01-27,518.19
SJ,2024-01-27,0.84
SE,2024-01-27,1347.03
CH,2024-01-27,111.03
TW,2024-01-27,211.41
TR,2024-01-27,260.92
,2024-01-27,3.97
AE,2024-01-27,120.23
GB,2024-01-27,778.49
US,2024-01-27,929.01
AL,2024-01-28,6.28
AD,2024-01-28,2.51
AG,2024-01-28,1.26
AW,2024-01-28,0.94
AU,2024-01-28,307.41
AT,2024-01-28,227.84
AZ,2024-01-28,0.0
BH,2024-01-28,10.78
BB,2024-01-28,1.05
BY,2024-01-28,5.65
BE,2024-01-28,326.36
BA,2024-01-28,3.66
BG,2024-01-28,51.31
CA,2024-01-28,76.75
KY,2024-01-28,6.7
HR,2024-01-28,81.36
CY,2024-01-28,52.25
CZ,2024-01-28,173.39
DK,2024-01-28,350.97
EE,2024-01-28,66.59
FO,2024-01-28,1.78
FI,2024-01-28,228.46
FR,2024-01-28,631.26
DE,2024-01-28,711.67
GI,2024-01-28,1.88
GR,2024-01-28,181.98
GG,2024-01-28,3.98
HK,2024-01-28,139.99
HU,2024-01-28,123.55
IS,2024-01-28,40.21
IE,2024-01-28,225.74
IM,2024-01-28,4.5
IL,2024-01-28,180.51
IT,2024-01-28,390.86
JP,2024-01-28,152.14
JE,2024-01-28,10.16
KR,2024-01-28,155.9
RS,2024-01-28,3.77
KW,2024-01-28,73.5
LV,2024-01-28,67.64
LI,2024-01-28,1.05
LT,2024-01-28,98.63
LU,2024-01-28,45.86
MO,2024-01-28,1.68
MK,2024-01-28,3.14
MT,2024-01-28,16.65
MD,2024-01-28,7.64
MC,2024-01-28,8.8
ME,2024-01-28,3.46
NL,2024-01-28,356.83
NZ,2024-01-28,69.94
NO,2024-01-28,405.41
OM,2024-01-28,7.96
PL,2024-01-28,319.66
PT,2024-01-28,211.29
QA,2024-01-28,22.3
RO,2024-01-28,165.01
,2024-01-28,0.84
SM,2024-01-28,0.21
SA,2024-01-28,0.1
RS,2024-01-28,33.09
SG,2024-01-28,198.1
SK,2024-01-28,80.31
SI,2024-01-28,50.99
ZA,2024-01-28,10.78
ES,2024-01-28,639.74
SJ,2024-01-28,0.94
SE,2024-01-28,3193.48
CH,2024-01-28,212.44
TW,2024-01-28,150.36
TR,2024-01-28,231.08
,2024-01-28,2.41
AE,2024-01-28,148.99
GB,2024-01-28,1399.79
US,2024-01-28,1495.38
AT,2023-09-04,18.05
CA,2023-09-04,244.82
DK,2023-09-04,16.39
FR,2023-09-04,176.93
DE,2023-09-04,451.68
GR,2023-09-04,7.48
HK,2023-09-04,24.98
IE,2023-09-04,0.0
IT,2023-09-04,60.52
NL,2023-09-04,273.76
SG,2023-09-04,19.7
ES,2023-09-04,45.77
SE,2023-09-04,1000.4
AE,2023-09-04,23.33
GB,2023-09-04,1257.76
US,2023-09-04,1550.34
AU,2023-09-05,26.08
AT,2023-09-05,0.55
CA,2023-09-05,205.65
DK,2023-09-05,199.99
FI,2023-09-05,19.42
FR,2023-09-05,334.16
DE,2023-09-05,598.52
GR,2023-09-05,0.22
HK,2023-09-05,14.65
IE,2023-09-05,49.94
IT,2023-09-05,64.92
NL,2023-09-05,54.49
SG,2023-09-05,0.11
ES,2023-09-05,0.89
SE,2023-09-05,684.31
AE,2023-09-05,20.98
GB,2023-09-05,2793.17
US,2023-09-05,1547.74
AU,2023-09-06,282.47
AT,2023-09-06,61.56
CA,2023-09-06,114.01
DK,2023-09-06,139.79
FI,2023-09-06,4.78
FR,2023-09-06,396.71
DE,2023-09-06,467.16
GR,2023-09-06,9.56
HK,2023-09-06,15.33
IE,2023-09-06,139.9
IT,2023-09-06,215.47
NL,2023-09-06,374.7
SG,2023-09-06,37.89
ES,2023-09-06,7.0
SE,2023-09-06,1029.55
AE,2023-09-06,57.01
GB,2023-09-06,1996.75
US,2023-09-06,1667.06
AU,2023-09-07,419.6
AT,2023-09-07,13.7
CA,2023-09-07,84.68
DK,2023-09-07,22.39
FI,2023-09-07,9.47
FR,2023-09-07,652.12
DE,2023-09-07,529.01
GR,2023-09-07,0.0
HK,2023-09-07,0.22
IE,2023-09-07,16.6
IT,2023-09-07,122.67
NL,2023-09-07,90.69
SG,2023-09-07,36.43
ES,2023-09-07,8.8
SE,2023-09-07,1341.79
AE,2023-09-07,147.85
GB,2023-09-07,1959.05
US,2023-09-07,1436.05
AU,2023-09-08,60.53
AT,2023-09-08,3.0
CA,2023-09-08,155.22
DK,2023-09-08,162.23
FI,2023-09-08,22.25
FR,2023-09-08,150.77
DE,2023-09-08,1280.41
HK,2023-09-08,25.82
IE,2023-09-08,171.69
IT,2023-09-08,399.13
NL,2023-09-08,312.45
SG,2023-09-08,36.72
ES,2023-09-08,3.56
SE,2023-09-08,1042.06
AE,2023-09-08,0.67
GB,2023-09-08,2311.79
US,2023-09-08,974.97
AU,2023-09-09,523.76
AT,2023-09-09,0.67
CA,2023-09-09,240.24
DK,2023-09-09,118.28
FI,2023-09-09,29.93
FR,2023-09-09,336.04
DE,2023-09-09,672.97
GR,2023-09-09,0.67
HK,2023-09-09,172.25
IE,2023-09-09,405.81
IT,2023-09-09,47.96
NL,2023-09-09,210.97
SG,2023-09-09,23.03
ES,2023-09-09,13.8
SE,2023-09-09,1448.76
AE,2023-09-09,30.04
GB,2023-09-09,1525.98
US,2023-09-09,1444.98
AU,2023-09-10,38.06
AT,2023-09-10,5.99
CA,2023-09-10,109.98
DK,2023-09-10,211.41
FI,2023-09-10,5.22
FR,2023-09-10,178.67
DE,2023-09-10,869.82
GR,2023-09-10,0.0
HK,2023-09-10,27.85
IE,2023-09-10,76.24
IT,2023-09-10,67.69
NL,2023-09-10,366.0
SG,2023-09-10,2.55
ES,2023-09-10,6.77
SE,2023-09-10,1322.16
AE,2023-09-10,23.3
GB,2023-09-10,1926.86
US,2023-09-10,1502.05
AU,2023-09-04,575.35
AT,2023-09-04,129.95
BE,2023-09-04,351.0
CA,2023-09-04,307.21
HR,2023-09-04,46.1
DK,2023-09-04,355.84
FI,2023-09-04,217.42
FR,2023-09-04,680.98
DE,2023-09-04,2909.22
GR,2023-09-04,161.31
HK,2023-09-04,232.72
IE,2023-09-04,147.11
IT,2023-09-04,136.77
LU,2023-09-04,20.69
NL,2023-09-04,551.37
NZ,2023-09-04,48.85
NO,2023-09-04,313.59
PT,2023-09-04,110.69
SG,2023-09-04,201.8
ES,2023-09-04,264.62
SE,2023-09-04,2146.37
CH,2023-09-04,453.99
AE,2023-09-04,196.85
GB,2023-09-04,1884.5
US,2023-09-04,1527.01
AU,2023-09-05,1031.24
AT,2023-09-05,230.18
BH,2023-09-05,5.99
BE,2023-09-05,608.29
CA,2023-09-05,508.18
HR,2023-09-05,129.07
DK,2023-09-05,602.18
FI,2023-09-05,486.65
FR,2023-09-05,1078.4
DE,2023-09-05,1497.14
GR,2023-09-05,518.5
HK,2023-09-05,364.68
IE,2023-09-05,263.03
IL,2023-09-05,12.32
IT,2023-09-05,475.89
JP,2023-09-05,8.66
KR,2023-09-05,11.54
LU,2023-09-05,38.07
NL,2023-09-05,741.02
NZ,2023-09-05,118.08
NO,2023-09-05,507.96
PT,2023-09-05,281.67
QA,2023-09-05,9.99
SG,2023-09-05,295.21
ZA,2023-09-05,13.32
ES,2023-09-05,716.49
SE,2023-09-05,3342.64
CH,2023-09-05,612.73
TW,2023-09-05,5.44
AE,2023-09-05,343.04
GB,2023-09-05,2364.68
US,2023-09-05,3610.44
AU,2023-09-06,803.41
AT,2023-09-06,216.47
BH,2023-09-06,4.11
BE,2023-09-06,482.83
CA,2023-09-06,479.16
HR,2023-09-06,135.35
DK,2023-09-06,467.16
FI,2023-09-06,376.48
FR,2023-09-06,987.65
DE,2023-09-06,1329.24
GR,2023-09-06,601.17
HK,2023-09-06,301.14
IE,2023-09-06,238.13
IL,2023-09-06,11.67
IT,2023-09-06,470.6
JP,2023-09-06,10.22
KR,2023-09-06,18.78
LU,2023-09-06,41.23
NL,2023-09-06,529.94
,2023-09-06,0.0
NZ,2023-09-06,137.12
NO,2023-09-06,361.26
PT,2023-09-06,254.36
QA,2023-09-06,6.78
SG,2023-09-06,246.14
ZA,2023-09-06,50.56
ES,2023-09-06,705.85
SE,2023-09-06,2810.61
CH,2023-09-06,489.38
TW,2023-09-06,6.89
AE,2023-09-06,358.04
GB,2023-09-06,1701.06
US,2023-09-06,6530.1
AU,2023-09-07,627.5
AT,2023-09-07,151.53
BH,2023-09-07,2.01
BE,2023-09-07,342.72
CA,2023-09-07,382.38
HR,2023-09-07,110.97
DK,2023-09-07,471.96
FI,2023-09-07,294.81
FR,2023-09-07,662.6
DE,2023-09-07,1313.27
GR,2023-09-07,355.98
HK,2023-09-07,242.55
IE,2023-09-07,180.27
IL,2023-09-07,9.47
IT,2023-09-07,250.24
JP,2023-09-07,4.46
KR,2023-09-07,8.36
LU,2023-09-07,34.32
NL,2023-09-07,414.69
NZ,2023-09-07,100.16
NO,2023-09-07,396.87
PT,2023-09-07,209.46
QA,2023-09-07,5.24
SG,2023-09-07,233.75
ZA,2023-09-07,76.43
ES,2023-09-07,506.17
SE,2023-09-07,2929.04
CH,2023-09-07,397.31
TW,2023-09-07,4.35
AE,2023-09-07,299.04
GB,2023-09-07,1930.75
US,2023-09-07,3186.86
AU,2023-09-08,2154.45
AT,2023-09-08,519.97
BH,2023-09-08,1.56
BE,2023-09-08,917.1
CA,2023-09-08,1336.04
HR,2023-09-08,82.56
DK,2023-09-08,1600.43
FI,2023-09-08,1037.17
FR,2023-09-08,2161.79
DE,2023-09-08,1905.2
GR,2023-09-08,252.92
HK,2023-09-08,1030.71
IE,2023-09-08,539.67
IL,2023-09-08,9.24
IT,2023-09-08,143.76
JP,2023-09-08,2.45
KR,2023-09-08,7.23
LU,2023-09-08,94.47
NL,2023-09-08,889.62
NZ,2023-09-08,141.76
NO,2023-09-08,1296.88
PT,2023-09-08,194.5
QA,2023-09-08,3.56
SG,2023-09-08,916.66
ZA,2023-09-08,72.33
ES,2023-09-08,454.66
SE,2023-09-08,9837.67
CH,2023-09-08,784.69
TW,2023-09-08,4.34
AE,2023-09-08,713.7
GB,2023-09-08,4560.48
US,2023-09-08,20132.78
AU,2023-09-09,752.09
AT,2023-09-09,145.99
BE,2023-09-09,189.16
CA,2023-09-09,421.16
HR,2023-09-09,38.5
DK,2023-09-09,401.91
FI,2023-09-09,227.66
FR,2023-09-09,549.79
DE,2023-09-09,948.15
GR,2023-09-09,146.66
HK,2023-09-09,209.08
IE,2023-09-09,169.58
IT,2023-09-09,136.31
LU,2023-09-09,23.03
NL,2023-09-09,415.16
NZ,2023-09-09,62.2
NO,2023-09-09,325.14
PT,2023-09-09,115.61
SG,2023-09-09,247.91
ES,2023-09-09,245.58
SE,2023-09-09,4347.06
CH,2023-09-09,367.31
AE,2023-09-09,321.02
GB,2023-09-09,2284.3
US,2023-09-09,6863.48
AU,2023-09-10,1254.91
AT,2023-09-10,318.05
BE,2023-09-10,560.87
CA,2023-09-10,634.56
HR,2023-09-10,60.93
DK,2023-09-10,710.13
FI,2023-09-10,493.28
FR,2023-09-10,1521.36
DE,2023-09-10,2062.47
GR,2023-09-10,172.23
HK,2023-09-10,510.15
IE,2023-09-10,353.34
IT,2023-09-10,178.56
LU,2023-09-10,54.93
NL,2023-09-10,780.38
NZ,2023-09-10,66.25
NO,2023-09-10,583.17
PT,2023-09-10,149.26
SG,2023-09-10,486.07
ES,2023-09-10,325.93
SE,2023-09-10,5232.48
CH,2023-09-10,774.27
AE,2023-09-10,508.82
GB,2023-09-10,3896.56
US,2023-09-10,9765.59
AT,2023-09-11,0.44
CA,2023-09-11,146.48
DK,2023-09-11,215.23
FI,2023-09-11,22.4
FR,2023-09-11,314.8
DE,2023-09-11,781.85
GR,2023-09-11,12.97
HK,2023-09-11,6.87
IE,2023-09-11,64.09
IT,2023-09-11,603.66
NL,2023-09-11,598.78
SG,2023-09-11,45.57
