Market,Date,Total Spend,Ad Spend,FB Spend
IT,2024-01-28,14.87,4.46,10.41
NL,2024-01-28,486.87,146.06,340.81
SG,2024-01-28,128.05,38.42,89.64
ES,2024-01-28,2.83,0.85,1.98
SE,2024-01-28,1048.4,314.52,733.88
AE,2024-01-28,140.41,42.12,98.29
GB,2024-01-28,1173.84,352.15,821.69
US,2024-01-28,2237.95,671.38,1566.56
AL,2024-01-22,3.66,1.1,2.57
AD,2024-01-22,2.93,0.88,2.05
AG,2024-01-22,0.84,0.25,0.59
AW,2024-01-22,0.52,0.16,0.37
AU,2024-01-22,882.22,264.67,617.55
AT,2024-01-22,396.19,118.86,277.33
AZ,2024-01-22,0.63,0.19,0.44
BH,2024-01-22,14.34,4.3,10.04
BB,2024-01-22,3.25,0.97,2.27
BY,2024-01-22,11.52,3.46,8.06
BE,2024-01-22,770.19,231.06,539.13
BA,2024-01-22,5.55,1.66,3.88
BG,2024-01-22,70.57,21.17,49.4
CA,2024-01-22,283.32,85.0,198.33
KY,2024-01-22,5.24,1.57,3.66
HR,2024-01-22,110.57,33.17,77.4
CY,2024-01-22,82.09,24.63,57.46
CZ,2024-01-22,348.97,104.69,244.28
DK,2024-01-22,680.25,204.07,476.17
EE,2024-01-22,137.58,41.27,96.3
FO,2024-01-22,1.57,0.47,1.1
FI,2024-01-22,421.84,126.55,295.29
FR,2024-01-22,1232.66,369.8,862.86
DE,2024-01-22,1780.67,534.2,1246.47
GI,2024-01-22,4.08,1.23,2.86
GR,2024-01-22,306.57,91.97,214.6
GG,2024-01-22,8.06,2.42,5.64
HK,2024-01-22,376.09,112.83,263.26
HU,2024-01-22,230.66,69.2,161.46
IS,2024-01-22,80.31,24.09,56.21
IE,2024-01-22,300.29,90.09,210.2
IM,2024-01-22,4.61,1.38,3.22
IL,2024-01-22,246.68,74.0,172.67
IT,2024-01-22,483.3,144.99,338.31
JP,2024-01-22,456.81,137.04,319.77
JE,2024-01-22,13.19,3.96,9.23
KR,2024-01-22,335.78,100.73,235.05
RS,2024-01-22,5.34,1.6,3.74
KW,2024-01-22,86.48,25.95,60.54
LV,2024-01-22,127.0,38.1,88.9
LI,2024-01-22,2.51,0.75,1.76
LT,2024-01-22,189.82,56.95,132.88
LU,2024-01-22,70.46,21.14,49.33
MO,2024-01-22,5.34,1.6,3.74
MK,2024-01-22,4.08,1.23,2.86
MT,2024-01-22,27.22,8.17,19.06
MD,2024-01-22,7.85,2.36,5.5
MC,2024-01-22,14.24,4.27,9.97
ME,2024-01-22,8.79,2.64,6.16
NL,2024-01-22,684.33,205.3,479.03
NZ,2024-01-22,183.02,54.91,128.11
NO,2024-01-22,811.96,243.59,568.37
OM,2024-01-22,5.65,1.7,3.96
PL,2024-01-22,503.72,151.12,352.6
PT,2024-01-22,239.24,71.77,167.47
QA,2024-01-22,56.96,17.09,39.87
RO,2024-01-22,208.46,62.54,145.92
,2024-01-22,1.36,0.41,0.95
SM,2024-01-22,0.94,0.28,0.66
SA,2024-01-22,13.19,3.96,9.23
RS,2024-01-22,55.18,16.55,38.62
SG,2024-01-22,392.53,117.76,274.77
SK,2024-01-22,152.13,45.64,106.49
SI,2024-01-22,133.39,40.02,93.37
ZA,2024-01-22,32.88,9.86,23.01
ES,2024-01-22,802.23,240.67,561.56
SJ,2024-01-22,0.84,0.25,0.59
SE,2024-01-22,7086.96,2126.09,4960.87
CH,2024-01-22,433.47,130.04,303.43
TW,2024-01-22,279.14,83.74,195.39
TR,2024-01-22,192.23,57.67,134.56
,2024-01-22,1.68,0.5,1.17
AE,2024-01-22,206.79,62.04,144.75
GB,2024-01-22,2648.44,794.53,1853.91
US,2024-01-22,9850.89,2955.27,6895.62
AL,2024-01-23,14.89,4.47,10.42
AD,2024-01-23,3.14,0.94,2.2
AG,2024-01-23,0.94,0.28,0.66
AW,2024-01-23,1.68,0.5,1.17
AU,2024-01-23,678.16,203.45,474.72
AT,2024-01-23,327.39,98.22,229.18
AZ,2024-01-23,0.1,0.03,0.07
BH,2024-01-23,13.0,3.9,9.1
BB,2024-01-23,4.4,1.32,3.08
BY,2024-01-23,10.38,3.11,7.26
BE,2024-01-23,506.76,152.03,354.73
BA,2024-01-23,7.97,2.39,5.58
BG,2024-01-23,58.39,17.52,40.87
CA,2024-01-23,212.29,63.69,148.6
KY,2024-01-23,7.65,2.3,5.36
HR,2024-01-23,91.52,27.46,64.06
CY,2024-01-23,81.87,24.56,57.31
CZ,2024-01-23,255.37,76.61,178.76
DK,2024-01-23,495.02,148.51,346.51
EE,2024-01-23,85.65,25.69,59.95
FO,2024-01-23,1.99,0.6,1.39
FI,2024-01-23,304.02,91.2,212.81
FR,2024-01-23,934.59,280.38,654.21
DE,2024-01-23,1305.28,391.58,913.69
GI,2024-01-23,1.78,0.53,1.25
GR,2024-01-23,287.87,86.36,201.51
GG,2024-01-23,8.28,2.48,5.8
HK,2024-01-23,268.16,80.45,187.71
HU,2024-01-23,184.82,55.45,129.37
IS,2024-01-23,68.25,20.47,47.77
IE,2024-01-23,317.12,95.14,221.98
IM,2024-01-23,3.14,0.94,2.2
IL,2024-01-23,307.68,92.31,215.38
IT,2024-01-23,498.59,149.58,349.01
JP,2024-01-23,394.07,118.22,275.85
JE,2024-01-23,12.37,3.71,8.66
KR,2024-01-23,312.19,93.66,218.53
RS,2024-01-23,4.82,1.45,3.38
KW,2024-01-23,126.32,37.9,88.43
LV,2024-01-23,97.81,29.34,68.47
LI,2024-01-23,2.2,0.66,1.54
LT,2024-01-23,116.26,34.88,81.38
LU,2024-01-23,48.64,14.59,34.05
MO,2024-01-23,3.35,1.01,2.35
MK,2024-01-23,5.14,1.54,3.6
MT,2024-01-23,23.27,6.98,16.29
MD,2024-01-23,5.66,1.7,3.96
MC,2024-01-23,12.37,3.71,8.66
ME,2024-01-23,7.97,2.39,5.58
NL,2024-01-23,534.75,160.43,374.33
NZ,2024-01-23,117.41,35.22,82.19
NO,2024-01-23,621.14,186.34,434.79
OM,2024-01-23,8.81,2.64,6.16
PL,2024-01-23,394.59,118.38,276.21
PT,2024-01-23,233.15,69.94,163.2
QA,2024-01-23,57.45,17.23,40.21
RO,2024-01-23,189.01,56.7,132.31
,2024-01-23,0.73,0.22,0.51
SM,2024-01-23,0.52,0.16,0.37
SA,2024-01-23,4.3,1.29,3.01
RS,2024-01-23,52.0,15.6,36.4
SG,2024-01-23,256.32,76.9,179.42
SK,2024-01-23,106.93,32.08,74.85
SI,2024-01-23,104.1,31.23,72.87
ZA,2024-01-23,28.1,8.43,19.67
ES,2024-01-23,783.94,235.18,548.76
SJ,2024-01-23,1.57,0.47,1.1
SE,2024-01-23,4602.9,1380.87,3222.03
CH,2024-01-23,324.04,97.21,226.83
TW,2024-01-23,252.96,75.89,177.07
TR,2024-01-23,261.14,78.34,182.8
,2024-01-23,2.52,0.75,1.76
AE,2024-01-23,246.25,73.88,172.38
GB,2024-01-23,1994.87,598.46,1396.41
US,2024-01-23,6122.14,1836.64,4285.5
,2024-01-23,0.0,0.0,0.0
AL,2024-01-24,20.57,6.17,14.4
AD,2024-01-24,9.4,2.82,6.58
AG,2024-01-24,2.3,0.69,1.61
AW,2024-01-24,3.13,0.94,2.19
AU,2024-01-24,608.34,182.5,425.84
AT,2024-01-24,322.44,96.73,225.71
AZ,2024-01-24,0.0,0.0,0.0
BH,2024-01-24,23.29,6.99,16.3
BB,2024-01-24,5.12,1.53,3.58
BY,2024-01-24,30.28,9.08,21.2
BE,2024-01-24,578.26,173.48,404.78
BA,2024-01-24,28.51,8.55,19.95
BG,2024-01-24,129.27,38.78,90.49
CA,2024-01-24,181.48,54.44,127.03
KY,2024-01-24,11.49,3.45,8.04
HR,2024-01-24,260.63,78.19,182.44
CY,2024-01-24,130.42,39.13,91.29
CZ,2024-01-24,437.2,131.16,306.04
DK,2024-01-24,654.18,196.25,457.92
EE,2024-01-24,136.26,40.88,95.39
FO,2024-01-24,3.55,1.07,2.49
FI,2024-01-24,336.12,100.84,235.28
FR,2024-01-24,1571.8,471.54,1100.26
DE,2024-01-24,1595.92,478.78,1117.14
GI,2024-01-24,6.79,2.04,4.75
GR,2024-01-24,555.71,166.71,389.0
GG,2024-01-24,15.87,4.76,11.11
HK,2024-01-24,304.38,91.31,213.06
HU,2024-01-24,410.05,123.01,287.03
IS,2024-01-24,95.12,28.54,66.59
IE,2024-01-24,443.15,132.94,310.2
IM,2024-01-24,10.13,3.04,7.09
IL,2024-01-24,401.49,120.45,281.04
IT,2024-01-24,955.42,286.63,668.79
JP,2024-01-24,296.23,88.87,207.36
JE,2024-01-24,27.78,8.33,19.44
KR,2024-01-24,287.04,86.11,200.93
RS,2024-01-24,15.56,4.67,10.89
KW,2024-01-24,210.3,63.09,147.21
LV,2024-01-24,158.82,47.65,111.17
LI,2024-01-24,1.67,0.5,1.17
LT,2024-01-24,218.02,65.41,152.62
LU,2024-01-24,69.96,20.99,48.97
MO,2024-01-24,5.85,1.75,4.09
MK,2024-01-24,15.24,4.57,10.67
MT,2024-01-24,45.84,13.75,32.09
MD,2024-01-24,14.2,4.26,9.94
MC,2024-01-24,16.39,4.92,11.48
ME,2024-01-24,18.8,5.64,13.16
NL,2024-01-24,718.91,215.67,503.24
NZ,2024-01-24,112.98,33.89,79.09
NO,2024-01-24,693.85,208.16,485.7
OM,2024-01-24,20.15,6.05,14.11
PL,2024-01-24,1088.55,326.57,761.99
PT,2024-01-24,412.66,123.8,288.86
QA,2024-01-24,104.21,31.26,72.95
RO,2024-01-24,646.34,193.9,452.44
,2024-01-24,1.57,0.47,1.1
SM,2024-01-24,0.94,0.28,0.66
SA,2024-01-24,8.35,2.51,5.85
RS,2024-01-24,133.55,40.06,93.48
SG,2024-01-24,289.45,86.83,202.61
SK,2024-01-24,268.25,80.47,187.77
SI,2024-01-24,164.56,49.37,115.19
ZA,2024-01-24,214.79,64.44,150.35
ES,2024-01-24,1236.3,370.89,865.41
SJ,2024-01-24,1.04,0.31,0.73
SE,2024-01-24,4296.88,1289.07,3007.82
CH,2024-01-24,408.59,122.58,286.01
TW,2024-01-24,248.93,74.68,174.25
TR,2024-01-24,754.73,226.42,528.31
,2024-01-24,3.65,1.1,2.56
AE,2024-01-24,284.33,85.3,199.03
GB,2024-01-24,2697.73,809.32,1888.41
US,2024-01-24,7492.37,2247.71,5244.66
AL,2024-01-25,12.53,3.76,8.77
AD,2024-01-25,4.18,1.25,2.92
AG,2024-01-25,1.78,0.53,1.24
AW,2024-01-25,1.98,0.6,1.39
AU,2024-01-25,514.96,154.49,360.47
AT,2024-01-25,261.39,78.42,182.98
AZ,2024-01-25,0.0,0.0,0.0
BH,2024-01-25,13.68,4.1,9.58
BB,2024-01-25,3.97,1.19,2.78
BY,2024-01-25,17.44,5.23,12.21
BE,2024-01-25,391.52,117.46,274.06
BA,2024-01-25,10.55,3.16,7.38
BG,2024-01-25,103.91,31.17,72.74
CA,2024-01-25,139.0,41.7,97.3
KY,2024-01-25,12.11,3.63,8.48
HR,2024-01-25,121.14,36.34,84.8
CY,2024-01-25,105.58,31.67,73.91
CZ,2024-01-25,286.25,85.87,200.37
DK,2024-01-25,454.39,136.32,318.07
EE,2024-01-25,91.27,27.38,63.89
FO,2024-01-25,4.28,1.28,3.0
FI,2024-01-25,262.23,78.67,183.56
FR,2024-01-25,742.83,222.85,519.98
DE,2024-01-25,893.84,268.15,625.69
GI,2024-01-25,4.39,1.32,3.07
GR,2024-01-25,311.0,93.3,217.7
GG,2024-01-25,11.7,3.51,8.19
HK,2024-01-25,241.66,72.5,169.16
HU,2024-01-25,197.9,59.37,138.53
IS,2024-01-25,63.39,19.02,44.37
IE,2024-01-25,251.68,75.5,176.18
IM,2024-01-25,6.79,2.04,4.75
IL,2024-01-25,365.72,109.72,256.01
IT,2024-01-25,455.43,136.63,318.8
JP,2024-01-25,227.24,68.17,159.07
JE,2024-01-25,15.87,4.76,11.11
KR,2024-01-25,196.86,59.06,137.8
RS,2024-01-25,6.79,2.04,4.75
KW,2024-01-25,147.25,44.17,103.07
LV,2024-01-25,86.16,25.85,60.31
LI,2024-01-25,3.55,1.07,2.49
LT,2024-01-25,170.54,51.16,119.38
LU,2024-01-25,57.75,17.33,40.43
MO,2024-01-25,6.16,1.85,4.31
MK,2024-01-25,8.35,2.51,5.85
MT,2024-01-25,25.17,7.55,17.62
MD,2024-01-25,12.95,3.88,9.06
MC,2024-01-25,12.95,3.88,9.06
ME,2024-01-25,7.21,2.16,5.04
NL,2024-01-25,457.83,137.35,320.48
NZ,2024-01-25,118.11,35.43,82.68
NO,2024-01-25,479.14,143.74,335.4
OM,2024-01-25,10.55,3.16,7.38
PL,2024-01-25,459.5,137.85,321.65
PT,2024-01-25,234.87,70.46,164.41
QA,2024-01-25,68.09,20.43,47.66
RO,2024-01-25,389.64,116.89,272.75
,2024-01-25,3.13,0.94,2.19
SM,2024-01-25,0.63,0.19,0.44
SA,2024-01-25,2.4,0.72,1.68
RS,2024-01-25,58.06,17.42,40.65
SG,2024-01-25,256.59,76.98,179.61
SK,2024-01-25,131.79,39.54,92.26
SI,2024-01-25,95.03,28.51,66.52
ZA,2024-01-25,14.93,4.48,10.45
ES,2024-01-25,847.99,254.4,593.59
SJ,2024-01-25,1.36,0.41,0.95
SE,2024-01-25,3798.1,1139.43,2658.67
CH,2024-01-25,277.58,83.27,194.31
TW,2024-01-25,283.33,85.0,198.33
TR,2024-01-25,475.27,142.58,332.69
,2024-01-25,6.79,2.04,4.75
AE,2024-01-25,245.63,73.69,171.94
GB,2024-01-25,1576.93,473.08,1103.85
US,2024-01-25,5849.99,1755.0,4094.99
,2024-01-25,0.1,0.03,0.07
AL,2024-01-26,4.8,1.44,3.36
AD,2024-01-26,1.15,0.34,0.8
AG,2024-01-26,0.94,0.28,0.66
AW,2024-01-26,1.67,0.5,1.17
AU,2024-01-26,236.69,71.01,165.68
AT,2024-01-26,147.38,44.22,103.17
AZ,2024-01-26,0.42,0.13,0.29
BH,2024-01-26,9.61,2.88,6.73
BB,2024-01-26,1.98,0.6,1.39
BY,2024-01-26,5.43,1.63,3.8
BE,2024-01-26,258.21,77.46,180.75
BA,2024-01-26,3.97,1.19,2.78
BG,2024-01-26,49.93,14.98,34.95
CA,2024-01-26,108.42,32.53,75.9
KY,2024-01-26,5.33,1.6,3.73
HR,2024-01-26,57.45,17.23,40.21
CY,2024-01-26,53.27,15.98,37.29
CZ,2024-01-26,169.53,50.86,118.67
DK,2024-01-26,271.58,81.47,190.1
EE,2024-01-26,50.35,15.1,35.24
FO,2024-01-26,0.84,0.25,0.58
FI,2024-01-26,151.35,45.41,105.95
FR,2024-01-26,512.03,153.61,358.42
DE,2024-01-26,352.43,105.73,246.7
GI,2024-01-26,1.04,0.31,0.73
GR,2024-01-26,154.7,46.41,108.29
GG,2024-01-26,3.97,1.19,2.78
HK,2024-01-26,141.01,42.3,98.71
HU,2024-01-26,135.16,40.55,94.61
IS,2024-01-26,37.08,11.12,25.96
IE,2024-01-26,140.7,42.21,98.49
IM,2024-01-26,2.72,0.81,1.9
IL,2024-01-26,252.57,75.77,176.8
IT,2024-01-26,267.82,80.35,187.47
JP,2024-01-26,141.95,42.59,99.37
JE,2024-01-26,7.52,2.26,5.26
KR,2024-01-26,142.47,42.74,99.73
RS,2024-01-26,4.18,1.25,2.92
KW,2024-01-26,63.93,19.18,44.75
LV,2024-01-26,52.75,15.82,36.92
LI,2024-01-26,1.15,0.34,0.8
LT,2024-01-26,91.71,27.51,64.2
LU,2024-01-26,35.62,10.69,24.93
MO,2024-01-26,4.18,1.25,2.92
MK,2024-01-26,3.76,1.13,2.63
MT,2024-01-26,10.13,3.04,7.09
MD,2024-01-26,4.7,1.41,3.29
MC,2024-01-26,6.89,2.07,4.83
ME,2024-01-26,4.07,1.22,2.85
NL,2024-01-26,180.39,54.12,126.27
NZ,2024-01-26,67.89,20.37,47.53
NO,2024-01-26,307.82,92.35,215.48
OM,2024-01-26,4.39,1.32,3.07
PL,2024-01-26,258.31,77.49,180.82
PT,2024-01-26,137.56,41.27,96.3
QA,2024-01-26,34.68,10.4,24.27
RO,2024-01-26,180.6,54.18,126.42
,2024-01-26,1.46,0.44,1.02
SM,2024-01-26,0.42,0.13,0.29
SA,2024-01-26,8.88,2.66,6.21
RS,2024-01-26,33.11,9.93,23.18
SG,2024-01-26,182.48,54.74,127.74
SK,2024-01-26,61.21,18.36,42.85
SI,2024-01-26,68.0,20.4,47.6
ZA,2024-01-26,9.19,2.76,6.43
ES,2024-01-26,407.79,122.34,285.45
SJ,2024-01-26,0.73,0.22,0.51
SE,2024-01-26,1519.9,455.97,1063.93
CH,2024-01-26,101.32,30.4,70.92
TW,2024-01-26,168.8,50.64,118.16
TR,2024-01-26,225.93,67.78,158.15
,2024-01-26,4.07,1.22,2.85
AE,2024-01-26,126.7,38.01,88.69
GB,2024-01-26,661.08,198.33,462.76
US,2024-01-26,3206.4,961.92,2244.48
,2024-01-26,0.1,0.03,0.07
AL,2024-01-27,5.85,1.75,4.09
AD,2024-01-27,1.88,0.56,1.32
AG,2024-01-27,0.73,0.22,0.51
AW,2024-01-27,1.36,0.41,0.95
AU,2024-01-27,210.16,63.05,147.11
AT,2024-01-27,184.26,55.28,128.98
AZ,2024-01-27,0.21,0.06,0.15
BH,2024-01-27,13.37,4.01,9.36
BB,2024-01-27,1.78,0.53,1.24
BY,2024-01-27,6.48,1.94,4.53
BE,2024-01-27,287.35,86.21,201.15
BA,2024-01-27,5.74,1.72,4.02
BG,2024-01-27,59.85,17.96,41.9
CA,2024-01-27,49.82,14.95,34.88
KY,2024-01-27,5.22,1.57,3.66
HR,2024-01-27,83.14,24.94,58.2
CY,2024-01-27,68.73,20.62,48.11
CZ,2024-01-27,190.31,57.09,133.22
DK,2024-01-27,382.4,114.72,267.68
EE,2024-01-27,88.89,26.67,62.22
FO,2024-01-27,2.72,0.81,1.9
FI,2024-01-27,174.33,52.3,122.03
FR,2024-01-27,593.5,178.05,415.45
DE,2024-01-27,424.92,127.47,297.44
GI,2024-01-27,4.49,1.35,3.14
GR,2024-01-27,189.69,56.91,132.78
GG,2024-01-27,4.28,1.28,3.0
HK,2024-01-27,135.48,40.64,94.83
HU,2024-01-27,150.52,45.16,105.36
IS,2024-01-27,39.9,11.97,27.93
IE,2024-01-27,170.78,51.23,119.55
IM,2024-01-27,6.89,2.07,4.83
IL,2024-01-27,385.43,115.63,269.8
IT,2024-01-27,311.9,93.57,218.33
JP,2024-01-27,180.7,54.21,126.49
JE,2024-01-27,8.04,2.41,5.63
KR,2024-01-27,182.79,54.84,127.96
RS,2024-01-27,3.76,1.13,2.63
KW,2024-01-27,68.94,20.68,48.26
LV,2024-01-27,78.55,23.56,54.98
LI,2024-01-27,1.67,0.5,1.17
LT,2024-01-27,118.97,35.69,83.28
LU,2024-01-27,38.54,11.56,26.98
MO,2024-01-27,4.6,1.38,3.22
MK,2024-01-27,3.34,1.0,2.34
MT,2024-01-27,17.97,5.39,12.58
MD,2024-01-27,6.69,2.01,4.68
MC,2024-01-27,7.31,2.19,5.12
ME,2024-01-27,4.6,1.38,3.22
NL,2024-01-27,197.31,59.19,138.12
NZ,2024-01-27,73.54,22.06,51.47
NO,2024-01-27,384.18,115.25,268.93
OM,2024-01-27,7.83,2.35,5.48
PL,2024-01-27,385.54,115.66,269.88
PT,2024-01-27,144.04,43.21,100.83
QA,2024-01-27,36.98,11.09,25.88
RO,2024-01-27,232.51,69.75,162.76
,2024-01-27,1.04,0.31,0.73
SM,2024-01-27,0.21,0.06,0.15
SA,2024-01-27,0.21,0.06,0.15
RS,2024-01-27,33.95,10.18,23.76
SG,2024-01-27,183.52,55.06,128.47
SK,2024-01-27,106.75,32.03,74.73
SI,2024-01-27,57.87,17.36,40.51
ZA,2024-01-27,7.1,2.13,4.97
ES,2024-01-27,518.19,155.46,362.73
SJ,2024-01-27,0.84,0.25,0.58
SE,2024-01-27,1347.03,404.11,942.92
CH,2024-01-27,111.03,33.31,77.72
TW,2024-01-27,211.41,63.42,147.99
TR,2024-01-27,260.92,78.28,182.65
,2024-01-27,3.97,1.19,2.78
AE,2024-01-27,120.23,36.07,84.16
GB,2024-01-27,778.49,233.55,544.94
US,2024-01-27,929.01,278.7,650.3
AL,2024-01-28,6.28,1.88,4.4
AD,2024-01-28,2.51,0.75,1.76
AG,2024-01-28,1.26,0.38,0.88
AW,2024-01-28,0.94,0.28,0.66
AU,2024-01-28,307.41,92.22,215.19
AT,2024-01-28,227.84,68.35,159.49
AZ,2024-01-28,0.0,0.0,0.0
BH,2024-01-28,10.78,3.24,7.55
BB,2024-01-28,1.05,0.31,0.73
BY,2024-01-28,5.65,1.7,3.96
BE,2024-01-28,326.36,97.91,228.45
BA,2024-01-28,3.66,1.1,2.57
BG,2024-01-28,51.31,15.39,35.91
CA,2024-01-28,76.75,23.02,53.72
KY,2024-01-28,6.7,2.01,4.69
HR,2024-01-28,81.36,24.41,56.95
CY,2024-01-28,52.25,15.67,36.57
CZ,2024-01-28,173.39,52.02,121.37
DK,2024-01-28,350.97,105.29,245.68
EE,2024-01-28,66.59,19.98,46.61
FO,2024-01-28,1.78,0.53,1.25
FI,2024-01-28,228.46,68.54,159.93
FR,2024-01-28,631.26,189.38,441.88
DE,2024-01-28,711.67,213.5,498.17
GI,2024-01-28,1.88,0.57,1.32
GR,2024-01-28,181.98,54.59,127.38
GG,2024-01-28,3.98,1.19,2.79
HK,2024-01-28,139.99,42.0,97.99
HU,2024-01-28,123.55,37.07,86.49
IS,2024-01-28,40.21,12.06,28.14
IE,2024-01-28,225.74,67.72,158.02
IM,2024-01-28,4.5,1.35,3.15
IL,2024-01-28,180.51,54.15,126.36
IT,2024-01-28,390.86,117.26,273.6
JP,2024-01-28,152.14,45.64,106.49
JE,2024-01-28,10.16,3.05,7.11
KR,2024-01-28,155.9,46.77,109.13
RS,2024-01-28,3.77,1.13,2.64
KW,2024-01-28,73.5,22.05,51.45
LV,2024-01-28,67.64,20.29,47.35
LI,2024-01-28,1.05,0.31,0.73
LT,2024-01-28,98.63,29.59,69.04
LU,2024-01-28,45.86,13.76,32.1
MO,2024-01-28,1.68,0.5,1.17
MK,2024-01-28,3.14,0.94,2.2
MT,2024-01-28,16.65,4.99,11.65
MD,2024-01-28,7.64,2.29,5.35
MC,2024-01-28,8.8,2.64,6.16
ME,2024-01-28,3.46,1.04,2.42
NL,2024-01-28,356.83,107.05,249.78
NZ,2024-01-28,69.94,20.98,48.96
NO,2024-01-28,405.41,121.62,283.79
OM,2024-01-28,7.96,2.39,5.57
