Market,Metric,Vecka 32 (2025),Vecka 33 (2025),Vecka 34 (2025),Vecka 35 (2025),Vecka 36 (2025),Vecka 37 (2025),Vecka 38 (2025),Vecka 39 (2025)
United Kingdom,Returning Customers,62.0,73.0,42.0,71.0,54.0,54.0,55.0,94.0
United Kingdom,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,Online Gross Revenue,120813.4913,121098.66,78841.4,75370.85,103833.8,61886.0,77123.6,133772.40999999997
Sweden,Online Net Revenue,117204.75087999999,98686.66,68973.4,66902.85,84025.8,58858.0,73019.6,129071.60999999997
Sweden,Returns,3608.74042,22412.0,9868.0,8468.0,19808.0,3028.0,4104.0,4700.8
Sweden,Return Rate %,3.0,18.5,12.5,11.2,19.1,4.9,5.3,3.5
Sweden,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,Retail Net Revenue,103936.5,72317.54,105147.76000000001,116003.20000000001,104096.3,74180.01,54323.2,78488.0
Sweden,Wholesale Net Revenue,0.0,252300.2,363965.45000000007,77684.0,0.0,20838.25,0.0,0.0
Sweden,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,New Customers,27.0,45.0,24.0,15.0,35.0,18.0,14.0,25.0
Sweden,Returning Customers,82.0,92.0,35.0,44.0,58.0,35.0,48.0,71.0
Sweden,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,Online Gross Revenue,94202.08336500001,118620.91441809092,79848.9091,85966.482975,80365.016715,48270.344397999994,75131.749,126955.24104299999
Germany,Online Net Revenue,84309.62001000001,102857.06665309092,76697.32933000001,77834.36934500001,60722.38214,37829.908253999994,54259.14556999999,125655.38501799999
Germany,Returns,9892.463355,15763.847765,3151.57977,8132.11363,19642.634575,10440.436144,20872.60343,1299.856025
Germany,Return Rate %,10.5,13.3,3.9,9.5,24.4,21.6,27.8,1.0
Germany,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,Retail Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,Wholesale Net Revenue,50303.635200000004,48774.736000000004,0.0,6136.032000000001,0.0,0.0,0.0,0.0
Germany,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,New Customers,28.0,37.0,16.0,19.0,19.0,11.0,17.0,21.0
Germany,Returning Customers,42.0,47.0,29.0,23.0,34.0,19.0,27.0,51.0
Germany,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,Online Gross Revenue,48912.96640999999,43536.789994999985,14592.83149,16164.159875000003,26863.307834999996,24181.985479000006,22070.280575,47518.16664400001
France,Online Net Revenue,47362.01890999999,38897.19249499998,10871.52377,16164.159875000003,21105.692844999998,24181.985479000006,22070.280575,47518.16664400001
France,Returns,1550.9475,4639.5975,3721.30772,0.0,5757.61499,0.0,0.0,0.0
France,Return Rate %,3.2,10.7,25.5,0.0,21.4,0.0,0.0,0.0
France,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,Retail Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,Wholesale Net Revenue,0.0,0.0,7.58676,0.0,0.0,0.0,0.0,0.0
France,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,New Customers,18.0,17.0,6.0,8.0,8.0,10.0,8.0,10.0
France,Returning Customers,13.0,23.0,9.0,5.0,17.0,10.0,7.0,16.0
France,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Online Gross Revenue,17074.35515,21899.07362,19504.193122,15718.962409,46891.888981000004,10815.624134,26150.14339,34755.826859999994
Canada,Online Net Revenue,17074.35515,19893.48876,18521.465082000002,14043.231979,45768.01502100001,7696.585934,26150.14339,34755.826859999994
Canada,Returns,0.0,2005.58486,982.72804,1675.73043,1123.87396,3119.0382,0.0,0.0
Canada,Return Rate %,0.0,9.2,5.0,10.7,2.4,28.8,0.0,0.0
Canada,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Retail Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Wholesale Net Revenue,149114.52,17459.52,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,New Customers,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0
Canada,Returning Customers,5.0,9.0,4.0,6.0,14.0,3.0,8.0,11.0
Canada,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,Online Gross Revenue,24740.038135,24211.3157,12960.153625,20009.030195,9893.389760000002,8831.13646,12812.90661,31297.443839000003
Netherlands,Online Net Revenue,24740.038135,22363.04292,12960.153625,16987.67328,2627.790130000002,8831.13646,10621.550065,28013.715599000003
Netherlands,Returns,0.0,1848.27278,0.0,3021.356915,7265.59963,0.0,2191.3565449999996,3283.72824
Netherlands,Return Rate %,0.0,7.6,0.0,15.1,73.4,0.0,17.1,10.5
Netherlands,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,Retail Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,Wholesale Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,New Customers,8.0,8.0,6.0,7.0,3.0,4.0,3.0,5.0
Netherlands,Returning Customers,11.0,16.0,5.0,6.0,7.0,3.0,7.0,15.0
Netherlands,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Online Gross Revenue,46385.776657,14250.512642000002,19352.658389999997,18883.454172,35410.44922000001,42894.24278400001,17161.193132,25549.59689
Australia,Online Net Revenue,46385.776657,14250.512642000002,16350.544049999997,12104.809332,33344.73466000001,42894.24278400001,17161.193132,13442.84737
Australia,Returns,0.0,0.0,3002.11434,6778.644840000001,2065.71456,0.0,0.0,12106.749520000001
Australia,Return Rate %,0.0,0.0,15.5,35.9,5.8,0.0,0.0,47.4
Australia,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Retail Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Wholesale Net Revenue,0.0,0.0,0.0,0.0,44244.2715,0.0,0.0,0.0
Australia,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,New Customers,8.0,2.0,7.0,3.0,5.0,5.0,2.0,6.0
Australia,Returning Customers,17.0,6.0,3.0,10.0,4.0,10.0,7.0,10.0
Australia,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Online Gross Revenue,53014.37264,16695.4957,6306.530365,24504.899795000005,4991.19942,9271.359339999999,9712.733564999999,19835.589215
Austria,Online Net Revenue,49707.5849,16695.4957,-4945.000775000001,20228.167085000005,3845.22525,9271.359339999999,9712.733564999999,18919.900844
Austria,Returns,3306.78774,0.0,11251.531140000001,4276.73271,1145.97417,0.0,0.0,915.688371
Austria,Return Rate %,6.2,0.0,178.4,17.5,23.0,0.0,0.0,4.6
Austria,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Retail Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Wholesale Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,New Customers,5.0,0.0,4.0,4.0,2.0,0.0,0.0,7.0
Austria,Returning Customers,13.0,10.0,4.0,7.0,2.0,3.0,3.0,5.0
Austria,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,Online Gross Revenue,17088.244545899997,3521.3066240000003,9510.1917219,11420.3456116,4664.516725,5895.013391999999,6338.862865099999,16910.864133799998
Denmark,Online Net Revenue,17088.244545899997,2415.4787840000004,7367.589631700001,11420.3456116,2959.0464850000003,5895.013391999999,6338.862865099999,16910.864133799998
Denmark,Returns,0.0,1105.82784,2142.6020902,0.0,1705.47024,0.0,0.0,0.0
Denmark,Return Rate %,0.0,31.4,22.5,0.0,36.6,0.0,0.0,0.0
Denmark,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,Retail Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,Wholesale Net Revenue,0.0,32714.305536,0.0,15924.578880000001,0.0,0.0,0.0,0.0
Denmark,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,New Customers,2.0,2.0,1.0,5.0,5.0,0.0,2.0,4.0
Denmark,Returning Customers,9.0,2.0,5.0,2.0,1.0,4.0,2.0,7.0
Denmark,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,Online Gross Revenue,15451.8235,33524.92,11542.966,16783.632,8429.1395,10784.2725,17690.9735,14691.7275
United Arab Emirates,Online Net Revenue,15451.8235,33524.92,11542.966,16783.632,8429.1395,10784.2725,17690.9735,14691.7275
United Arab Emirates,Returns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,Return Rate %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,Retail Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,Wholesale Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,New Customers,4.0,4.0,0.0,2.0,1.0,1.0,2.0,1.0
United Arab Emirates,Returning Customers,2.0,6.0,4.0,3.0,3.0,2.0,3.0,4.0
United Arab Emirates,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,Online Gross Revenue,11815.670005,5183.818850000001,4223.96168,7323.584375,12952.973139999998,9069.316566,11297.449890000002,13656.879775
Belgium,Online Net Revenue,11815.670005,4739.8322100000005,4223.96168,7323.584375,10070.744704999997,9069.316566,11297.449890000002,13656.879775
Belgium,Returns,0.0,443.98664,0.0,0.0,2882.228435,0.0,0.0,0.0
Belgium,Return Rate %,0.0,8.6,0.0,0.0,22.3,0.0,0.0,0.0
Belgium,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,Retail Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,Wholesale Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,New Customers,5.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0
Belgium,Returning Customers,3.0,5.0,2.0,2.0,8.0,4.0,3.0,6.0
Belgium,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,Online Gross Revenue,12434.575199999996,30283.865395000004,7349.797999999999,15042.0352,14128.343009999999,9755.867154000001,10362.978855000001,13309.069045000002
Italy,Online Net Revenue,12434.575199999996,28728.848915000006,7349.797999999999,15042.0352,10232.070679999999,8140.156614000001,10362.978855000001,13309.069045000002
Italy,Returns,0.0,1555.01648,0.0,0.0,3896.2723300000002,1615.71054,0.0,0.0
Italy,Return Rate %,0.0,5.1,0.0,0.0,27.6,16.6,0.0,0.0
Italy,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,Retail Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,Wholesale Net Revenue,33567.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,New Customers,2.0,9.0,2.0,1.0,1.0,2.0,3.0,2.0
Italy,Returning Customers,6.0,5.0,4.0,4.0,6.0,5.0,3.0,5.0
Italy,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,Online Gross Revenue,8599.094125,21695.0495,21153.86625,7612.517000000001,9998.5155,8683.0605,11989.193375,12265.899000000001
Singapore,Online Net Revenue,8599.094125,21695.0495,21153.86625,5492.782000000001,9998.5155,8683.0605,11989.193375,12265.899000000001
Singapore,Returns,0.0,0.0,0.0,2119.735,0.0,0.0,0.0,0.0
Singapore,Return Rate %,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0
Singapore,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,Retail Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,Wholesale Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,New Customers,1.0,4.0,1.0,3.0,0.0,2.0,1.0,2.0
Singapore,Returning Customers,4.0,4.0,3.0,3.0,5.0,2.0,5.0,3.0
Singapore,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,Online Gross Revenue,33077.8580485,53988.1442665,35162.404043,49597.803359000005,24712.5417105,26057.379237,30429.27303,9982.50185
Switzerland,Online Net Revenue,33077.8580485,53988.1442665,35162.404043,45635.43635900001,19487.361810500002,24618.927257,28188.13464,9982.50185
Switzerland,Returns,0.0,0.0,0.0,3962.367,5225.179899999999,1438.45198,2241.13839,0.0
Switzerland,Return Rate %,0.0,0.0,0.0,8.0,21.1,5.5,7.4,0.0
Switzerland,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,Retail Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,Wholesale Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,New Customers,2.0,5.0,2.0,6.0,6.0,1.0,3.0,2.0
Switzerland,Returning Customers,10.0,17.0,12.0,10.0,9.0,12.0,9.0,3.0
Switzerland,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROW,Online Gross Revenue,130606.10711939998,171643.4489705,72230.501923,89783.066344,110265.00612899999,123230.40411899998,77962.57073,98064.02423899999
ROW,Online Net Revenue,130227.50825939998,165667.8387855,69694.623263,79759.987194,100099.20328899998,116391.83314899998,74007.74160000001,91963.17021
ROW,Returns,378.59886,5975.610185,2535.87866,10023.07915,10165.80284,6838.570970000001,3954.82913,6100.854029
ROW,Return Rate %,0.3,3.5,3.5,11.2,9.2,5.5,5.1,6.2
ROW,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROW,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROW,Retail Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROW,Wholesale Net Revenue,3722.2740000000003,409568.321507,0.0,346000.865555,0.0,0.0,0.0,0.0
ROW,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROW,New Customers,36.0,40.0,14.0,15.0,24.0,15.0,9.0,13.0
ROW,Returning Customers,28.0,55.0,25.0,27.0,32.0,40.0,26.0,45.0
ROW,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROW,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Online Gross Revenue,1352689.4704123,1293787.2035447906,940086.9178618,956730.6056446,982233.6751358999,823424.9410214,798173.0637113,1170132.1978734
Total,Online Net Revenue,1302607.5198488,1142520.1005357907,876447.6371707999,810847.9206202,816439.6545330998,766349.2117237,723498.9127469,1122132.9630571
Total,Returns,50081.950563499995,151267.10300899998,63639.28069100001,145882.6850244,165794.0206028,57075.729297699996,74674.1509644,47999.2348163
Total,Return Rate %,3.7,11.7,6.8,15.2,16.9,6.9,9.4,4.1
Total,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Retail Net Revenue,103936.5,72317.54000000001,105147.76,116003.2,104096.3,74180.01000000001,54323.2,78488.0
Total,Wholesale Net Revenue,236707.9632,768471.1280430001,443669.15992,445745.476435,95019.99349999998,20838.25,0.0,0.0
Total,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,New Customers,334.0,332.0,229.0,223.0,241.0,172.0,148.0,203.0
Total,Returning Customers,453.0,534.0,307.0,323.0,371.0,299.0,297.0,473.0
Total,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
